docker compose -f docker-compose-dev.yaml logs -f
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f731c0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f731c0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f731c0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Created channel=1
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Socket connected: <socket.socket fd=22, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.6', 33374), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f73ca0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f73ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f73ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f73ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7f2668f73ca0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-trip_parser-1             | 2023-05-10 22:49:51 INFO     Created channel=1
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     action: config | result: success | logging_level: INFO
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.9', 36220), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f6902370>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f6902370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f6902370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f6902370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f6902370> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Created channel=1
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=10, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.9', 36236), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f691acd0>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f691acd0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f691acd0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f691acd0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f691acd0> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Created channel=1
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Pika version 1.3.1 connecting to ('172.25.125.2', 5672)
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Socket connected: <socket.socket fd=14, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.25.125.9', 36246), raddr=('172.25.125.2', 5672)>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f7f730>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f7f730> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f7f730> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
distribuidos-tp1-weather_parser-1          | 2023-05-10 22:49:52 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0x7fe0f5f7f730> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
